date,p50 deploy/adservice,p50 deploy/cartservice,p50 deploy/checkoutservice,p50 deploy/currencyservice,p50 deploy/emailservice,p50 deploy/frontend,p50 deploy/loadgenerator,p50 deploy/paymentservice,p50 deploy/productcatalogservice,p50 deploy/recommendationservice,p50 deploy/redis-cart,p50 deploy/shippingservice,p95 deploy/adservice,p95 deploy/cartservice,p95 deploy/checkoutservice,p95 deploy/currencyservice,p95 deploy/emailservice,p95 deploy/loadgenerator,p95 deploy/paymentservice,p95 deploy/productcatalogservice,p95 deploy/recommendationservice,p95 deploy/redis-cart,p95 deploy/shippingservice,p99 deploy/adservice,p99 deploy/cartservice,p99 deploy/checkoutservice,p99 deploy/currencyservice,p99 deploy/emailservice,p99 deploy/frontend,p99 deploy/loadgenerator,p99 deploy/paymentservice,p99 deploy/productcatalogservice,p99 deploy/recommendationservice,p99 deploy/redis-cart,p99 deploy/shippingservice,ðŸ”’deploy/adservice,ðŸ”’deploy/cartservice,ðŸ”’deploy/checkoutservice,ðŸ”’deploy/currencyservice,ðŸ”’deploy/emailservice,ðŸ”’deploy/frontend,ðŸ”’deploy/loadgenerator,ðŸ”’deploy/paymentservice,ðŸ”’deploy/productcatalogservice,ðŸ”’deploy/recommendationservice,ðŸ”’deploy/redis-cart,ðŸ”’deploy/shippingservice,deploy/adservice,deploy/cartservice,deploy/checkoutservice,deploy/currencyservice,deploy/emailservice,deploy/frontend,deploy/loadgenerator,deploy/paymentservice,deploy/productcatalogservice,deploy/recommendationservice,deploy/redis-cart,deploy/shippingservice,p95 deploy/frontend
2021-10-07 09:18:00,1.0,0.2515991471215351,0.17472598323662153,0.15155375268833593,0.1515151515151515,0.04287446937537903,1.1102230246251565e-16,0.07142857142857145,0.04029112411714486,0.7222222222222221,0.0,0.2534216335540833,0.11527704704676973,0.00034996431284967794,0.2564776567780701,0.11169176593991137,0.025718608169440244,2.220446049250313e-16,0.01249024199843871,0.0037218404178481768,0.004182003559887362,0.0,0.022547227300426433,0.4742822062279804,0.0007913153144241945,0.2012106144949469,0.03706252687951327,0.02565458873313939,0.048750606501698206,0.0,0.010433648516465603,8.772179073726974e-05,0.0003471564728902421,0.0,0.0037954900647466094,0.09467455621301771,0.08365019011406843,0.4545454545454545,0.048148148148148134,0.08333333333333333,0.07196969696969696,0.4994500000003086,0.18181818181818177,0.08478260869565213,0.07608695652173911,0.0,0.12790697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,1.0,130.9999999999999
2021-10-07 09:18:05,0.75,0.6404341926729984,0.07156673114119923,0.15155375268833593,0.2272727272727274,0.04287446937537903,1.1102230246251565e-16,0.07142857142857145,0.06656621393845263,0.7222222222222221,0.0,0.2534216335540833,0.03539287395516454,0.0006676950705684637,0.12504693954187018,0.11169176593991137,0.02723146747352498,1.0,0.01249024199843871,0.00614896781680585,0.004182003559887362,0.0,0.022547227300426433,0.031145138689360828,0.0019888862590215287,0.09582229908663466,0.03706252687951327,0.025919069029357318,0.048750606501698206,0.9999999999999999,0.010433648516465603,0.011897510623750404,0.0003471564728902421,0.0,0.0037954900647466094,0.08284023668639051,0.09125475285171103,0.2727272727272727,0.048148148148148134,0.25,0.07196969696969696,0.4994500000003086,0.18181818181818177,0.06666666666666662,0.07608695652173911,0.0,0.12790697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,1.0,130.9999999999999
2021-10-07 09:18:10,0.75,0.6404341926729984,0.07156673114119923,0.14839987851400882,0.2272727272727274,0.03350515463917525,1.1102230246251565e-16,0.28571428571428575,0.06656621393845263,0.4642857142857144,0.0,0.2715231788079473,0.03539287395516454,0.0006676950705684637,0.12504693954187018,0.13739042481456548,0.02723146747352498,1.0,0.027322404371584706,0.00614896781680585,0.011612836331587911,0.0,0.023765996343692853,0.031145138689360828,0.0019888862590215287,0.09582229908663466,0.07698402836878705,0.025919069029357318,0.04409267345948561,0.9999999999999999,0.021193348549070755,0.011897510623750404,0.04227849408686393,0.0,0.026345166331770517,0.08284023668639051,0.09125475285171103,0.2727272727272727,0.0654320987654321,0.25,0.06060606060606061,0.4994500000003086,0.2727272727272727,0.06666666666666662,0.016304347826086973,0.0,0.11625697674418604,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,99.02777777777774
2021-10-07 09:18:15,0.6354166666666667,0.4080185582352165,0.1876208897485493,0.14839987851400882,0.36363636363636365,0.03350515463917525,1.1102230246251565e-16,0.28571428571428575,0.020391767644595937,0.4642857142857144,0.0,0.2715231788079473,0.030570708609088157,0.0008288628462229195,0.2689948679434224,0.13739042481456548,0.04841149773071104,0.6666666666666667,0.027322404371584706,0.0018836631311244245,0.011612836331587911,0.0,0.023765996343692853,0.07755425545074293,0.0005510945939739935,0.20301212416004627,0.07698402836878705,0.050780216873842904,0.04409267345948561,0.6666666666666666,0.021193348549070755,4.4396933897435445e-05,0.04227849408686393,0.0,0.026345166331770517,0.05325443786982245,0.09125475285171103,0.36363636363636365,0.0654320987654321,0.49999999999999994,0.06060606060606061,0.4994500000003086,0.2727272727272727,0.08478260869565213,0.016304347826086973,0.0,0.11625697674418604,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,99.02777777777774
2021-10-07 09:18:20,0.6354166666666667,0.4080185582352165,0.1876208897485493,0.11984731350278066,0.36363636363636365,0.033676975945017174,1.1102230246251565e-16,0.21428571428571425,0.020391767644595937,0.3999999999999999,0.0,0.047064017660043866,0.030570708609088157,0.0008288628462229195,0.2689948679434224,0.07497939611897786,0.04841149773071104,0.6666666666666667,0.014571948998178503,0.0018836631311244245,0.0027787858364871076,0.0,0.0003168799512492382,0.07755425545074293,0.0005510945939739935,0.20301212416004627,0.04145967776818692,0.050780216873842904,0.10431829209121779,0.6666666666666666,0.010723472086367421,4.4396933897435445e-05,0.0002306725654576472,0.0,0.0029024335789238354,0.05325443786982245,0.09125475285171103,0.36363636363636365,0.0012345679012345512,0.49999999999999994,0.03030303030303033,0.4994500000003086,0.3636363636363636,0.08478260869565213,0.054347826086956486,0.0,0.17439069767441862,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,239.99999999999983
2021-10-07 09:18:25,0.591346153846154,0.6056279865494658,0.0006447453255963879,0.11984731350278066,0.2272727272727274,0.033676975945017174,1.1102230246251565e-16,0.21428571428571425,0.06611836831244133,0.3999999999999999,0.0,0.047064017660043866,0.03375515742253483,0.12278682108074486,0.2677431468268872,0.07497939611897786,0.05748865355521938,0.6666666666666667,0.014571948998178503,0.006107598657012825,0.0027787858364871076,0.0,0.0003168799512492382,0.039303990873813976,0.47010135194808444,0.20283197319353632,0.04145967776818692,0.05236709865115051,0.10431829209121779,0.6666666666666666,0.010723472086367421,0.004435628057852225,0.0002306725654576472,0.0,0.0029024335789238354,0.02366863905325442,0.0,0.1818181818181818,0.0012345679012345512,0.0,0.03030303030303033,0.4994500000003086,0.3636363636363636,0.009420289855072428,0.054347826086956486,0.0,0.17439069767441862,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,239.99999999999983
2021-10-07 09:18:30,0.591346153846154,0.6056279865494658,0.0006447453255963879,0.17512259108835604,0.2272727272727274,0.02553528945281522,1.1102230246251565e-16,0.0,0.06611836831244133,0.7380952380952379,0.0,0.4827078734363499,0.03375515742253483,0.12278682108074486,0.2677431468268872,0.12837920676760856,0.05748865355521938,0.6666666666666667,0.0,0.006107598657012825,0.004251127585670575,0.0,0.08104814137720906,0.039303990873813976,0.47010135194808444,0.20283197319353632,0.028962512084588277,0.05236709865115051,0.41927462396894655,0.6666666666666666,0.0,0.004435628057852225,0.0003528945964090813,0.0,0.02790801518196029,0.02366863905325442,0.0,0.1818181818181818,0.0111111111111111,0.0,0.015151515151515166,0.4994500000003086,0.0,0.009420289855072428,0.02717391304347827,0.0,0.0348697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,229.9999999999992
2021-10-07 09:18:35,0.65625,0.20377451585049888,0.0,0.17512259108835604,0.11363636363636365,0.02553528945281522,0.0,0.0,0.03333987258260329,0.7380952380952379,0.0,0.4827078734363499,0.06432586603162267,0.00026477563143232166,0.0,0.12837920676760856,0.054462934947049936,0.6666666666666667,0.0,0.0030797275584336647,0.004251127585670575,0.0,0.08104814137720906,0.8536236731066132,4.062556301731384e-05,0.0,0.028962512084588277,0.051838138058714636,0.41927462396894655,0.6666666666666666,0.0,7.258753360653639e-05,0.0003528945964090813,0.0,0.02790801518196029,0.07100591715976329,0.04182509505703422,0.0,0.0111111111111111,0.16666666666666663,0.015151515151515166,0.0,0.0,0.023188405797101408,0.02717391304347827,0.0,0.0348697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,229.9999999999992
2021-10-07 09:18:40,0.65625,0.20377451585049888,0.0,0.37562712035907,0.11363636363636365,0.03552735923869943,0.0,0.14285714285714296,0.03333987258260329,0.33333333333333304,0.0,0.1740533197486842,0.06432586603162267,0.00026477563143232166,0.0,0.5873791863340085,0.054462934947049936,0.6666666666666667,0.058548009367681494,0.0030797275584336647,0.16817875473067542,1.0000000000000002,0.015234613040828775,0.8536236731066132,4.062556301731384e-05,0.0,0.9999999999999999,0.051838138058714636,1.0,0.6666666666666666,0.04293011629170742,7.258753360653639e-05,0.09658983319274983,1.0,0.0024559053360125177,0.07100591715976329,0.04182509505703422,0.0,0.012345679012345678,0.16666666666666663,0.04545454545454544,0.0,0.2727272727272727,0.023188405797101408,0.03804347826086954,0.0,0.19764418604651163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,1644.444444444444
2021-10-07 09:18:45,0.5625000000000002,0.5904002713704202,0.07156673114119923,0.37562712035907,0.1515151515151515,0.03552735923869943,0.0,0.14285714285714296,0.9999999999999991,0.33333333333333304,0.0,0.1740533197486842,0.33946224351341625,1.0,0.24145700337964723,0.5873791863340085,0.05597579425113467,0.0,0.058548009367681494,1.0,0.16817875473067542,1.0000000000000002,0.015234613040828775,0.30062811250131716,1.0,0.19904880289682766,0.9999999999999999,0.05210261835493257,1.0,0.0,0.04293011629170742,0.04801302224269785,0.09658983319274983,1.0,0.0024559053360125177,0.0,0.04942965779467681,0.2727272727272727,0.012345679012345678,0.08333333333333333,0.04545454545454544,1.0,0.2727272727272727,0.07826086956521736,0.03804347826086954,0.0,0.19764418604651163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,1644.444444444444
2021-10-07 09:18:50,0.5625000000000002,0.5904002713704202,0.07156673114119923,0.27035594896516524,0.1515151515151515,0.038858049167327546,0.0,0.09523809523809523,0.9999999999999991,0.06122448979591821,0.0,0.4008199306212554,0.33946224351341625,1.0,0.24145700337964723,0.20937289278489568,0.05597579425113467,0.0,0.013270882123341137,1.0,0.0,0.0,0.054235222425350435,0.30062811250131716,1.0,0.19904880289682766,0.08768761934779447,0.05210261835493257,0.04995147986414367,0.0,0.010542332355178784,0.04801302224269785,0.0,0.0,0.005135074793480701,0.0,0.04942965779467681,0.2727272727272727,0.01975308641975307,0.08333333333333333,0.02651515151515152,1.0,0.0909090909090909,0.07826086956521736,0.02717391304347827,0.0,0.05812325581395349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,142.0000000000001
2021-10-07 09:18:55,0.46875,0.0,0.05222437137330753,0.27035594896516524,0.303030303030303,0.038858049167327546,1.1102230246251565e-16,0.09523809523809523,0.10298895097700989,0.06122448979591821,0.0,0.4008199306212554,0.028023149558330816,0.00014965579167913723,0.2489673300788586,0.20937289278489568,0.054462934947049936,0.6666666666666667,0.013270882123341137,0.009513470987395523,0.0,0.0,0.054235222425350435,0.16132549605310792,0.002439300109865645,0.20012970869588728,0.08768761934779447,0.051838138058714636,0.04995147986414367,0.6666666666666666,0.010542332355178784,0.017568541373833124,0.0,0.0,0.005135074793480701,0.0769230769230769,0.026615969581749055,0.1818181818181818,0.01975308641975307,0.16666666666666663,0.02651515151515152,0.4994500000003086,0.0909090909090909,0.039130434782608664,0.02717391304347827,0.0,0.05812325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,142.0000000000001
2021-10-07 09:19:00,0.46875,0.0,0.05222437137330753,0.10441078546441274,0.303030303030303,0.010103092783505158,1.1102230246251565e-16,0.42857142857142866,0.10298895097700989,0.5,0.0,0.1740533197486842,0.028023149558330816,0.00014965579167913723,0.2489673300788586,0.11496965610249416,0.054462934947049936,0.6666666666666667,0.028103044496487112,0.009513470987395523,0.006013790243143774,0.0,0.056672760511883025,0.16132549605310792,0.002439300109865645,0.20012970869588728,0.726142356933488,0.051838138058714636,0.09694929645803005,0.6666666666666666,0.021302032387783942,0.017568541373833124,0.3725361932140967,0.0,0.0055816030363920605,0.0769230769230769,0.026615969581749055,0.1818181818181818,0.00493827160493826,0.16666666666666663,0.0037878787878788123,0.4994500000003086,0.18181818181818177,0.039130434782608664,0.0,0.0,0.0348697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,172.50000000000017
2021-10-07 09:19:05,0.453125,0.5070104025327904,0.0019342359767891672,0.10441078546441274,0.4545454545454546,0.010103092783505158,1.1102230246251565e-16,0.42857142857142866,0.14380274542970461,0.5,0.0,0.1740533197486842,0.17259712568880942,0.00018419174360509503,0.2564776567780701,0.11496965610249416,0.05597579425113467,0.33333333333333337,0.028103044496487112,0.01328359240069088,0.006013790243143774,0.0,0.056672760511883025,0.8799668305287401,0.00034620045006058804,0.2012106144949469,0.726142356933488,0.05210261835493257,0.09694929645803005,0.33333333333333337,0.021302032387783942,1.0,0.3725361932140967,0.0,0.0055816030363920605,0.04142011834319523,0.022813688212927757,0.09090909090909091,0.00493827160493826,0.08333333333333333,0.0037878787878788123,0.4994500000003086,0.18181818181818177,0.019565217391304318,0.0,0.0,0.0348697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,172.50000000000017
2021-10-07 09:19:10,0.453125,0.5070104025327904,0.0019342359767891672,0.07612847535215872,0.4545454545454546,0.02164948453608248,1.1102230246251565e-16,0.28571428571428575,0.14380274542970461,0.3928571428571428,0.0,0.33940397350993434,0.17259712568880942,0.00018419174360509503,0.2564776567780701,0.024499887615194393,0.05597579425113467,0.33333333333333337,0.02888368462138954,0.01328359240069088,0.0027476800248846522,0.0,0.05179768433881782,0.8799668305287401,0.00034620045006058804,0.2012106144949469,0.07505545341761397,0.05210261835493257,0.05060650169820471,0.33333333333333337,0.021410716226497123,1.0,0.0002280904098741765,0.0,0.004688546550569342,0.04142011834319523,0.022813688212927757,0.09090909090909091,0.012345679012345678,0.08333333333333333,0.0,0.4994500000003086,0.0909090909090909,0.019565217391304318,0.010869565217391325,0.0,0.08137674418604653,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,147.99999999999986
2021-10-07 09:19:15,0.46875,0.2401628222523744,0.0019342359767891672,0.07612847535215872,0.303030303030303,0.02164948453608248,1.1102230246251565e-16,0.28571428571428575,0.04072690233940701,0.3928571428571428,0.0,0.33940397350993434,0.024491306328871754,4.6047935901272945e-05,0.2564776567780701,0.024499887615194393,0.02798789712556734,1.0,0.02888368462138954,0.0037620948668459775,0.0027476800248846522,0.0,0.05179768433881782,0.020911677328183262,7.0653153073595414e-06,0.2012106144949469,0.07505545341761397,0.026051309177466286,0.05060650169820471,0.9999999999999999,0.021410716226497123,8.867056659942092e-05,0.0002280904098741765,0.0,0.004688546550569342,0.02366863905325442,0.007604562737642595,0.09090909090909091,0.012345679012345678,0.16666666666666663,0.0,0.4994500000003086,0.0909090909090909,0.0,0.010869565217391325,0.0,0.08137674418604653,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.4999500000012631,147.99999999999986
2021-10-07 09:19:20,0.46875,0.2401628222523744,0.0019342359767891672,0.1893006019857033,0.303030303030303,0.05412371134020619,1.1102230246251565e-16,0.28571428571428575,0.04072690233940701,0.5999999999999999,0.0,0.45253863134657735,0.024491306328871754,4.6047935901272945e-05,0.2564776567780701,0.2239267251067651,0.02798789712556734,1.0,0.014832162373145979,0.0037620948668459775,0.008128985432111574,1.0000000000000002,0.02376599634369284,0.020911677328183262,7.0653153073595414e-06,0.2012106144949469,0.7560352686766566,0.026051309177466286,0.9187287724405633,0.9999999999999999,0.010759700032605152,8.867056659942092e-05,0.35446110412972864,1.0,0.0037954900647465817,0.02366863905325442,0.007604562737642595,0.09090909090909091,0.07530864197530862,0.16666666666666663,0.06439393939393939,0.4994500000003086,0.2727272727272727,0.0,0.03260869565217392,0.0,0.1278604697669768,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.0,849.9999999999982
2021-10-07 09:19:25,0.4772727272727273,0.4929657930443474,0.24564796905222439,0.1893006019857033,0.09090909090909105,0.05412371134020619,1.1102230246251565e-16,0.28571428571428575,0.28170380925623295,0.5999999999999999,0.0,0.45253863134657735,0.028341594439675474,0.4992286970736511,0.5343597446488926,0.2239267251067651,0.05295007564296523,0.33333333333333337,0.014832162373145979,0.026022024605301897,0.008128985432111574,1.0000000000000002,0.02376599634369284,0.029978513146380906,0.9328795045800911,0.41414905690969056,0.7560352686766566,0.0515736577624967,0.9187287724405633,0.33333333333333337,0.010759700032605152,0.7742780523815683,0.35446110412972864,1.0,0.0037954900647465817,0.05325443786982245,0.08745247148288976,0.36363636363636365,0.07530864197530862,0.25,0.06439393939393939,0.4994500000003086,0.2727272727272727,0.10724637681159416,0.03260869565217392,0.0,0.1278604697669768,0.0,0.0,0.0,0.0,0.0,0.0,0.4994500000000244,0.0,0.0,0.4999500000012631,0.0,0.0,849.9999999999982
